Standard,Subject,Grade,Strand,Standard Number,Description,,
South Carolina College and Career Ready Standards for ELA,English,8,Reading: Literary Text,RL.6-8.1.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,K,Reading: Literary Text,RL.K-8.2,"Demonstrate understanding of spoken words, syllables, and sounds.",,
South Carolina College and Career Ready Standards for ELA,English,1,Reading: Literary Text,RL.K-8.2,"Demonstrate understanding of spoken words, syllables, and sounds.",,
South Carolina College and Career Ready Standards for ELA,English,2,Reading: Literary Text,RL.K-8.2,"Demonstrate understanding of spoken words, syllables, and sounds.",,
South Carolina College and Career Ready Standards for ELA,English,3,Reading: Literary Text,RL.K-8.2,"Demonstrate understanding of spoken words, syllables, and sounds.",,
South Carolina College and Career Ready Standards for ELA,English,4,Reading: Literary Text,RL.K-8.2,"Demonstrate understanding of spoken words, syllables, and sounds.",,
South Carolina College and Career Ready Standards for ELA,English,5,Reading: Literary Text,RL.K-8.2,"Demonstrate understanding of spoken words, syllables, and sounds.",,
South Carolina College and Career Ready Standards for ELA,English,6,Reading: Literary Text,RL.K-8.2,"Demonstrate understanding of spoken words, syllables, and sounds.",,
South Carolina College and Career Ready Standards for ELA,English,7,Reading: Literary Text,RL.K-8.2,"Demonstrate understanding of spoken words, syllables, and sounds.",,
South Carolina College and Career Ready Standards for ELA,English,8,Reading: Literary Text,RL.K-8.2,"Demonstrate understanding of spoken words, syllables, and sounds.",,
South Carolina College and Career Ready Standards for ELA,English,K,Reading: Literary Text,RL.K.2.1,Recognize and produce rhyming words.,,
South Carolina College and Career Ready Standards for ELA,English,1,Reading: Literary Text,RL.1.2.1,Distinguish long from short vowel sounds in spoken single-syllable words.,,
South Carolina College and Career Ready Standards for ELA,English,2,Reading: Literary Text,RL.2.2.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,K,Reading: Literary Text,RL.K.2.2,"Count, pronounce, blend, and segment syllables in spoken words.",,
South Carolina College and Career Ready Standards for ELA,English,1,Reading: Literary Text,RL.1.2.2,"Orally produce single-syllable words by blending sounds, including consonant blends in spoken words.",,
South Carolina College and Career Ready Standards for ELA,English,2,Reading: Literary Text,RL.2.2.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,K,Reading: Literary Text,RL.K.2.3,Blend and segment onsets and rimes of single-syllable spoken words.,,
South Carolina College and Career Ready Standards for ELA,English,1,Reading: Literary Text,RL.1.2.3,"Isolate and pronounce initial, medial, and final sounds in spoken single-syllable words.",,
South Carolina College and Career Ready Standards for ELA,English,2,Reading: Literary Text,RL.2.2.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,K,Reading: Literary Text,RL.K.2.4,"Isolate and pronounce the initial, medial, and final sounds in a three-phoneme word.",,
South Carolina College and Career Ready Standards for ELA,English,1,Reading: Literary Text,RL.1.2.4,Segment spoken single-syllable words into their complete sequence of individual sounds.,,
South Carolina College and Career Ready Standards for ELA,English,2,Reading: Literary Text,RL.2.2.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,K,Reading: Literary Text,RL.K.2.5,"Add or substitute individual sounds in simple, one-syllable words to make new words.",,
South Carolina College and Career Ready Standards for ELA,English,1,Reading: Literary Text,RL.1-2.2.5,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,2,Reading: Literary Text,RL.1-2.2.5,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,3,Reading: Literary Text,RL.3-5.2.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,4,Reading: Literary Text,RL.3-5.2.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,5,Reading: Literary Text,RL.3-5.2.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,3,Reading: Literary Text,RL.3-5.2.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,4,Reading: Literary Text,RL.3-5.2.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,5,Reading: Literary Text,RL.3-5.2.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,3,Reading: Literary Text,RL.3-5.2.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,4,Reading: Literary Text,RL.3-5.2.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,5,Reading: Literary Text,RL.3-5.2.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,3,Reading: Literary Text,RL.3-5.2.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,4,Reading: Literary Text,RL.3-5.2.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,5,Reading: Literary Text,RL.3-5.2.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,3,Reading: Literary Text,RL.3-5.2.5,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,4,Reading: Literary Text,RL.3-5.2.5,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,5,Reading: Literary Text,RL.3-5.2.5,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,6,Reading: Literary Text,RL.6-8.2.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,7,Reading: Literary Text,RL.6-8.2.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,8,Reading: Literary Text,RL.6-8.2.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,6,Reading: Literary Text,RL.6-8.2.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,7,Reading: Literary Text,RL.6-8.2.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,8,Reading: Literary Text,RL.6-8.2.2,Students are expected to build upon and continue applying previous learning.,,
