Standard,Subject,Grade,Strand,Standard Number,Description,,,,
Iowa Core Standards: Math,Math,3,Measurement & Data,3.MD.C.7a,"Find the area of a rectangle with whole-number side lengths by tiling it, and show that the area is the same as would be found by multiplying the side lengths.",,,,
Iowa Core Standards: Math,Math,3,Measurement & Data,3.MD.C.7b,"Multiply side lengths to find areas of rectangles with whole-number side lengths in the context of solving real world and mathematical problems, and represent whole-number products as rectangular areas in mathematical reasoning.",,,,
Iowa Core Standards: Math,Math,3,Measurement & Data,3.MD.C.7c,Use tiling to show in a concrete case that the area of a rectangle with whole-number side lengths a and b + c is the sum of a × b and a × c. Use area models to represent the distributive property in mathematical reasoning.,,,,
Iowa Core Standards: Math,Math,3,Measurement & Data,3.MD.C.7d,"Recognize area as additive. Find areas of rectilinear figures by decomposing them into non-overlapping rectangles and adding the areas of the non-overlapping parts, applying this technique to solve real world problems.",,,,
Iowa Core Standards: Math,Math,3,Measurement & Data,3.MD.D,Geometric measurement: recognize perimeter as an attribute of plane figures and distinguish between linear and area measures.,,,,
Iowa Core Standards: Math,Math,3,Measurement & Data,3.MD.D.8,"Solve real world and mathematical problems involving perimeters of polygons, including finding the perimeter given the side lengths, finding an unknown side length, and exhibiting rectangles with the same perimeter and different areas or with the same area and different perimeters.",,,,
Iowa Core Standards: Math,Math,4,Measurement & Data,4.MD.A,Solve problems involving measurement and conversion of measurements from a larger unit to a smaller unit.,,,,
Iowa Core Standards: Math,Math,4,Measurement & Data,4.MD.A.1,"Know relative sizes of measurement units within one system of units including km, m, cm; kg, g; lb, oz.; l, ml; hr, min, sec. Within a single system of measurement, express measurements in a larger unit in terms of a smaller unit. Record measurement equivalents in a two column table.",,,,
Iowa Core Standards: Math,Math,4,Measurement & Data,4.MD.A.2,"Use the four operations to solve word problems involving distances, intervals of time, liquid volumes, masses of objects, and money, including problems involving simple fractions or decimals, and problems that require expressing measurements given in a larger unit in terms of a smaller unit. Represent measurement quantities using diagrams such as number line diagrams that feature a measurement scale.",,,,
Iowa Core Standards: Math,Math,4,Measurement & Data,4.MD.A.3,Apply the area and perimeter formulas for rectangles in real world and mathematical problems.,,,,
Iowa Core Standards: Math,Math,4,Measurement & Data,4.MD.B,Represent and interpret data.,,,,
Iowa Core Standards: Math,Math,4,Measurement & Data,4.MD.B.4,"Make a line plot to display a data set of measurements in fractions of a unit (1/2, 1/4, 1/8). Solve problems involving addition and subtraction of fractions by using information presented in line plots.",,,,
Iowa Core Standards: Math,Math,4,Measurement & Data,4.MD.C,Geometric measurement: understand concepts of angle and measure angles.,,,,
Iowa Core Standards: Math,Math,4,Measurement & Data,4.MD.C.5,"Recognize angles as geometric shapes that are formed wherever two rays share a common endpoint, and understand concepts of angle measurement:",,,,
Iowa Core Standards: Math,Math,4,Measurement & Data,4.MD.C.5a,"An angle is measured with reference to a circle with its center at the common endpoint of the rays, by considering the fraction of the circular arc between the points where the two rays intersect the circle. An angle that turns through 1/360 of a circle is called a one-degree angle",,,,
Iowa Core Standards: Math,Math,4,Measurement & Data,4.MD.C.5b,An angle that turns through n one-degree angles is said to have an angle measure of n degrees.,,,,
Iowa Core Standards: Math,Math,4,Measurement & Data,4.MD.C.6,Measure angles in whole-number degrees using a protractor. Sketch angles of specified measure.,,,,
Iowa Core Standards: Math,Math,4,Measurement & Data,4.MD.C.7,"Recognize angle measure as additive. When an angle is decomposed into non-overlapping parts, the angle measure of the whole is the sum of the angle measures of the parts. Solve addition and subtraction problems to find unknown angles on a diagram in real world and mathematical problems, e.g., by using an equation with a symbol for the unknown angle measure.",,,,
Iowa Core Standards: Math,Math,5,Measurement & Data,5.MD.A,Convert like measurement units within a given measurement system.,,,,
Iowa Core Standards: Math,Math,5,Measurement & Data,5.MD.A.1,"Convert among different-sized standard measurement units within a given measurement system (e.g., convert 5 cm to 0.05 m), and use these conversions in solving multi-step, real world problems.",,,,
Iowa Core Standards: Math,Math,5,Measurement & Data,5.MD.B,Represent and interpret data.,,,,
Iowa Core Standards: Math,Math,5,Measurement & Data,5.MD.B.2,"Make a line plot to display a data set of measurements in fractions of a unit (1/2, 1/4, 1/8). Use operations on fractions for this grade to solve problems involving information presented in line plots.",,,,
Iowa Core Standards: Math,Math,5,Measurement & Data,5.MD.C,Geometric measurement: understand concepts of volume and relate volume to multiplication and to addition.,,,,
Iowa Core Standards: Math,Math,5,Measurement & Data,5.MD.C.3,Recognize volume as an attribute of solid figures and understand concepts of volume measurement.,,,,
Iowa Core Standards: Math,Math,5,Measurement & Data,5.MD.C.3a,"A cube with side length 1 unit, called a unit cube",,,,
Iowa Core Standards: Math,Math,5,Measurement & Data,5.MD.C.3b,A solid figure which can be packed without gaps or overlaps using n unit cubes is said to have a volume of n cubic units.,,,,
Iowa Core Standards: Math,Math,5,Measurement & Data,5.MD.C.4,"Measure volumes by counting unit cubes, using cubic cm, cubic in, cubic ft, and improvised units.",,,,
Iowa Core Standards: Math,Math,5,Measurement & Data,5.MD.C.5,Relate volume to the operations of multiplication and addition and solve real world and mathematical problems involving volume.,,,,
Iowa Core Standards: Math,Math,5,Measurement & Data,5.MD.C.5a,"Find the volume of a right rectangular prism with whole-number side lengths by packing it with unit cubes, and show that the volume is the same as would be found by multiplying the edge lengths, equivalently by multiplying the height by the area of the base. Represent threefold whole-number products as volumes, e.g., to represent the associative property of multiplication.",,,,
Iowa Core Standards: Math,Math,5,Measurement & Data,5.MD.C.5b,Apply the formulas V = l × w × h and V = b × h for rectangular prisms to find volumes of right rectangular prisms with whole-number edge lengths in the context of solving real world and mathematical problems.,,,,
Iowa Core Standards: Math,Math,5,Measurement & Data,5.MD.C.5c,"Recognize volume as additive. Find volumes of solid figures composed of two non-overlapping right rectangular prisms by adding the volumes of the non-overlapping parts, applying this technique to solve real world problems.",,,,
Iowa Core Standards: Math,Math,K,Geometry,K.G.A,"Identify and describe shapes (squares, circles, triangles, rectangles, hexagons, cubes, cones, cylinders, and spheres).",,,,
Iowa Core Standards: Math,Math,K,Geometry,K.G.A.1,"Describe objects in the environment using names of shapes, and describe the relative positions of these objects using terms such as above, below, beside, in front of, behind, and next to.",,,,
Iowa Core Standards: Math,Math,K,Geometry,K.G.A.2,Correctly name shapes regardless of their orientations or overall size.,,,,
Iowa Core Standards: Math,Math,K,Geometry,K.G.A.3,"Identify shapes as two-dimensional (lying in a plane, flat"") or three-dimensional (""solid"").""",,,,
Iowa Core Standards: Math,Math,K,Geometry,K.G.B,"Analyze, compare, create, and compose shapes.",,,,
Iowa Core Standards: Math,Math,K,Geometry,K.G.B.4,"Analyze and compare two- and three-dimensional shapes, in different sizes and orientations, using informal language to describe their similarities, differences, parts (e.g., number of sides and vertices/corners"") and other attributes (e.g.",,,,
Iowa Core Standards: Math,Math,K,Geometry,K.G.B.5,"Model shapes in the world by building shapes from components (e.g., sticks and clay balls) and drawing shapes.",,,,
Iowa Core Standards: Math,Math,K,Geometry,K.G.B.6,Compose simple shapes to form larger shapes.,,,,
Iowa Core Standards: Math,Math,1,Geometry,1.G.A,Reason with shapes and their attributes.,,,,
Iowa Core Standards: Math,Math,1,Geometry,1.G.A.1,"Distinguish between defining attributes (e.g., triangles are closed and three-sided) versus non-defining attributes (e.g., color, orientation, overall size); build and draw shapes to possess defining attributes.",,,,
Iowa Core Standards: Math,Math,1,Geometry,1.G.A.2,"Compose two-dimensional shapes (rectangles, squares, trapezoids, triangles, half-circles, and quarter-circles) or three-dimensional shapes (cubes, right rectangular prisms, right circular cones, and right circular cylinders) to create a composite shape, and compose new shapes from the composite shape.",,,,
Iowa Core Standards: Math,Math,1,Geometry,1.G.A.3,"Partition circles and rectangles into two and four equal shares, describe the shares using the words halves, fourths, and quarters, and use the phrases half of, fourth of, and quarter of. Describe the whole as two of, or four of the shares. Understand for these examples that decomposing into more equal shares creates smaller shares.",,,,
Iowa Core Standards: Math,Math,2,Geometry,2.G.A,Reason with shapes and their attributes.,,,,
Iowa Core Standards: Math,Math,2,Geometry,2.G.A.1,"Recognize and draw shapes having specified attributes, such as a given number of angles or a given number of equal faces. Identify triangles, quadrilaterals, pentagons, hexagons, and cubes.",,,,
Iowa Core Standards: Math,Math,2,Geometry,2.G.A.2,Partition a rectangle into rows and columns of same-size squares and count to find the total number of them.,,,,
Iowa Core Standards: Math,Math,2,Geometry,2.G.A.3,"Partition circles and rectangles into two, three, or four equal shares, describe the shares using the words halves, thirds, half of, a third of, etc., and describe the whole as two halves, three thirds, four fourths. Recognize that equal shares of identical wholes need not have the same shape.",,,,
Iowa Core Standards: Math,Math,3,Geometry,3.G.A,Reason with shapes and their attributes.,,,,
Iowa Core Standards: Math,Math,3,Geometry,3.G.A.1,"Understand that shapes in different categories (e.g., rhombuses, rectangles, and others) may share attributes (e.g., having four sides), and that the shared attributes can define a larger category (e.g., quadrilaterals). Recognize rhombuses, rectangles, and squares as examples of quadrilaterals, and draw examples of quadrilaterals that do not belong to any of these subcategories.",,,,
