Standard,Subject,Grade,Strand,Standard Number,Description,,,,,,
Ohio ELA Standard,English,1,Reading Standards for Informational Text,RI.1.1,Ask and answer questions about key details in a text.,,,,,,
Ohio ELA Standard,English,1,Reading Standards for Informational Text,RI.1.2,Analyze informational text development.,,,,,,
Ohio ELA Standard,English,1,Reading Standards for Informational Text,RI.1.2.a,Identify the main topic.,,,,,,
Ohio ELA Standard,English,1,Reading Standards for Informational Text,RI.1.2.b,Retell key details of a text.,,,,,,
Ohio ELA Standard,English,1,Reading Standards for Informational Text,RI.1.3,"Describe the connection between two individuals, events, ideas, or pieces of information in a text.",,,,,,
Ohio ELA Standard,English,2,Reading Standards for Informational Text,RI.2.1,"Ask and answer such questions as who, what, where, when, why, and how to demonstrate understanding of key details in a text.",,,,,,
Ohio ELA Standard,English,2,Reading Standards for Informational Text,RI.2.2,Analyze informational text development.,,,,,,
Ohio ELA Standard,English,2,Reading Standards for Informational Text,RI.2.2.a,Identify the main topic of a multi-paragraph text.,,,,,,
Ohio ELA Standard,English,2,Reading Standards for Informational Text,RI.2.2.b,Identify the focus of specific paragraphs within the text.,,,,,,
Ohio ELA Standard,English,2,Reading Standards for Informational Text,RI.2.3,"Describe the connection between a series of historical events, scientific ideas or concepts, or steps in technical procedures in a text.",,,,,,
Ohio ELA Standard,English,3,Reading Standards for Informational Text,RI.3.1,"Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers.",,,,,,
Ohio ELA Standard,English,3,Reading Standards for Informational Text,RI.3.2,Analyze informational text development.,,,,,,
Ohio ELA Standard,English,3,Reading Standards for Informational Text,RI.3.2.a,Determine the main idea of a text.,,,,,,
Ohio ELA Standard,English,3,Reading Standards for Informational Text,RI.3.2.b,Retell the key details and explain how they support the main idea.,,,,,,
Ohio ELA Standard,English,3,Reading Standards for Informational Text,RI.3.3,"Describe the relationship between a series of historical events, scientific ideas or concepts, or steps in technical procedures in a text, using language that pertains to time, sequence, and cause/effect.",,,,,,
Ohio ELA Standard,English,4,Reading Standards for Informational Text,RI.4.1,Refer to details and examples in a text when explaining what the text says explicitly and when drawing inferences from the text.,,,,,,
Ohio ELA Standard,English,4,Reading Standards for Informational Text,RI.4.2,Analyze informational text development.,,,,,,
Ohio ELA Standard,English,4,Reading Standards for Informational Text,RI.4.2.a,Determine the main idea of a text and explain how it is supported by key details.,,,,,,
Ohio ELA Standard,English,4,Reading Standards for Informational Text,RI.4.2.b,"Provide a summary of the text that includes the main idea and key details, as well as other important information.",,,,,,
Ohio ELA Standard,English,4,Reading Standards for Informational Text,RI.4.3,"Explain events, procedures, ideas, or concepts in a historical, scientific, or technical text, including what happened and why, based on specific information in the text.",,,,,,
Ohio ELA Standard,English,5,Reading Standards for Informational Text,RI.5.1,Quote accurately from a text when explaining what the text says explicitly and when drawing inferences from the text.,,,,,,
Ohio ELA Standard,English,5,Reading Standards for Informational Text,RI.5.2,Analyze informational text development.,,,,,,
Ohio ELA Standard,English,5,Reading Standards for Informational Text,RI.5.2.a,Determine the main ideas of a text and explain how they are supported by key details.,,,,,,
Ohio ELA Standard,English,5,Reading Standards for Informational Text,RI.5.2.b,"Provide a summary of the text that includes the main ideas and key details, as well as other important information.",,,,,,
Ohio ELA Standard,English,5,Reading Standards for Informational Text,RI.5.3,"Explain the relationships or interactions between two or more individuals, events, ideas, or concepts in a historical, scientific, or technical text based on specific information in the text.",,,,,,
Ohio ELA Standard,English,6,Reading Standards for Informational Text,RI.6.1,Cite textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.,,,,,,
Ohio ELA Standard,English,6,Reading Standards for Informational Text,RI.6.2,Analyze informational text development.,,,,,,
Ohio ELA Standard,English,6,Reading Standards for Informational Text,RI.6.2.a,Determine a central idea of a text and how it is conveyed through particular details.,,,,,,
Ohio ELA Standard,English,6,Reading Standards for Informational Text,RI.6.2.b,Provide an objective summary of the text that includes the central idea and relevant details.,,,,,,
Ohio ELA Standard,English,6,Reading Standards for Informational Text,RI.6.3,"Analyze in detail how a key individual, event, or idea is introduced, illustrated, and elaborated in a text (e.g., through examples or anecdotes).",,,,,,
Ohio ELA Standard,English,7,Reading Standards for Informational Text,RI.7.1,Cite several pieces of textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.,,,,,,
Ohio ELA Standard,English,7,Reading Standards for Informational Text,RI.7.2,Analyze informational text development.,,,,,,
Ohio ELA Standard,English,7,Reading Standards for Informational Text,RI.7.2.a,Determine two or more central ideas in a text and analyze their development over the course of the text.,,,,,,
Ohio ELA Standard,English,7,Reading Standards for Informational Text,RI.7.2.b,Provide an objective summary of the text that includes the central ideas and their development.,,,,,,
Ohio ELA Standard,English,7,Reading Standards for Informational Text,RI.7.3,"Analyze the interactions between individuals, events, and ideas in a text (e.g., how ideas influence individuals or events, or how individuals influence ideas or events).",,,,,,
Ohio ELA Standard,English,8,Reading Standards for Informational Text,RI.8.1,Cite the textual evidence that most strongly supports an analysis of what the text says explicitly as well as inferences drawn from the text.,,,,,,
Ohio ELA Standard,English,8,Reading Standards for Informational Text,RI.8.2,Analyze informational text development.,,,,,,
Ohio ELA Standard,English,8,Reading Standards for Informational Text,RI.8.2.a,"Determine a central idea of a text and analyze its development over the course of the text, including its relationship to supporting ideas.",,,,,,
Ohio ELA Standard,English,8,Reading Standards for Informational Text,RI.8.2.b,Incorporate central ideas and their relationships into an objective summary of the text.,,,,,,
Ohio ELA Standard,English,8,Reading Standards for Informational Text,RI.8.3,"Analyze how a text makes connections among and distinctions between individuals, ideas, or events (e.g., through comparisons, analogies, or categories).",,,,,,
Ohio ELA Standard,English,9,Reading Standards for Informational Text,RI.9-10.1,Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.,,,,,,
Ohio ELA Standard,English,10,Reading Standards for Informational Text,RI.9-10.1,Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.,,,,,,
Ohio ELA Standard,English,9,Reading Standards for Informational Text,RI.9-10.2,Analyze informational text development.,,,,,,
Ohio ELA Standard,English,10,Reading Standards for Informational Text,RI.9-10.2,Analyze informational text development.,,,,,,
Ohio ELA Standard,English,9,Reading Standards for Informational Text,RI.9-10.2.a,"Determine a central idea of a text and analyze its development over the course of the text, including how it emerges and is shaped and refined by specific details",,,,,,
